2theta,Experimental
52.6749,213.17
52.6948,311.7
52.7148,418.55
52.7347,297.35
52.7546,254.95
52.7746,282.87
52.7945,184.01
52.8145,306.94
52.8344,284.27
52.8544,220.76
52.8743,277.67
52.8942,328.03
52.9142,339.9
52.9341,275.62
52.9541,345.99
52.974,359.53
52.994,294.19
53.0139,249.44
53.0338,296.48
53.0538,401.99
53.0737,248.99
53.0937,174.62
53.1136,207.31
53.1335,250.37
53.1535,271.09
53.1734,410.7
53.1934,352.87
53.2133,336.59
53.2333,317.97
53.2532,251.06
53.2731,170.64
53.2931,283.03
53.313,361.33
53.333,357.4
53.3529,384.4
53.3728,367.76
53.3928,259.92
53.4127,262.75
53.4327,249.87
53.4526,321.46
53.4726,278.09
53.4925,259.51
53.5124,238.38
53.5324,250.72
53.5523,318.88
53.5723,233.83
53.5922,269.17
53.6122,295.95
53.6321,251.96
53.652,313.98
53.672,335.15
53.6919,288.65
53.7119,290.74
53.7318,190.81
53.7517,295.09
53.7717,252.95
53.7916,256.93
53.8116,260.49
53.8315,211.36
53.8515,268.38
53.8714,157.8
53.8913,219.06
53.9113,291.12
53.9312,192.55
53.9512,294.41
53.9711,272.53
53.991,230.75
54.011,321.29
54.0309,280.45
54.0509,292.34
54.0708,196.05
54.0908,339.68
54.1107,258.62
54.1306,217.41
54.1506,170.64
54.1705,177.42
54.1905,276.39
54.2104,250.03
54.2304,239.84
54.2503,243.19
54.2702,218.55
54.2902,233.1
54.3101,218.23
54.3301,243.16
54.35,223.13
54.3699,234.21
54.3899,324.25
54.4098,274.38
54.4298,250.94
54.4497,239.59
54.4697,284.71
54.4896,229.05
54.5095,275.79
54.5295,271.68
54.5494,149.37
54.5694,207.34
54.5893,323.97
54.6092,91.51
54.6292,258.21
54.6491,218.59
54.6691,203.63
54.689,270.25
54.709,228.64
54.7289,278.57
54.7488,266.73
54.7688,218.34
54.7887,231.27
54.8087,182.45
54.8286,191.37
54.8486,268.3
54.8685,336.64
54.8884,344.69
54.9084,204.76
54.9283,209.89
54.9483,224.9
54.9682,250.98
54.9881,156.23
55.0081,164.28
55.028,257.89
55.048,313.79
55.0679,397.62
55.0879,381.32
55.1078,371.76
55.1277,329.11
55.1477,265.78
55.1676,298.51
55.1876,379.17
55.2075,270
55.2274,303.45
55.2474,257.87
55.2673,306.47
55.2873,296.33
55.3072,334.86
55.3272,232.88
55.3471,266
55.367,229.62
55.387,259.54
55.4069,252.27
55.4269,290.41
55.4468,278.2
55.4668,229.41
55.4867,223.76
55.5066,213.94
55.5266,305.76
55.5465,267.31
55.5665,172.34
55.5864,259.65
55.6063,242.58
55.6263,386.54
55.6462,307.06
55.6662,257.56
55.6861,326.83
55.7061,347.23
55.726,335.16
55.7459,258.26
55.7659,190.49
55.7858,265.88
55.8058,261.32
55.8257,363.14
55.8456,267.78
55.8656,258.3
55.8855,207.29
55.9055,245.9
55.9254,297.9
55.9454,220.62
55.9653,329.53
55.9852,300.96
56.0052,229.41
56.0251,203.23
56.0451,283.28
56.065,293.27
56.085,172.94
56.1049,244.83
56.1248,257.81
56.1448,230.06
56.1647,269.94
56.1847,275.66
56.2046,264.47
56.2245,282.66
56.2445,250.29
56.2644,367.96
56.2844,278.44
56.3043,187.05
56.3243,271.14
56.3442,219
56.3641,282.89
56.3841,267.16
56.404,215.13
56.424,181.64
56.4439,210.04
56.4638,270.06
56.4838,336.06
56.5037,290.75
56.5237,245.51
56.5436,225.65
56.5636,359.95
56.5835,305.53
56.6034,290.23
56.6234,249.07
56.6433,361.22
56.6633,320.73
56.6832,199.21
56.7032,205.43
56.7231,262.81
56.743,301.18
56.763,193.8
56.7829,274.95
56.8029,220.71
56.8228,218.03
56.8427,255.46
56.8627,297.04
56.8826,213.81
56.9026,273.44
56.9225,407.42
56.9425,340.41
56.9624,289.96
56.9823,243.03
57.0023,329.65
57.0222,206.42
57.0422,123.38
57.0621,241.22
57.082,426.43
57.102,290.06
57.1219,329.31
57.1419,295.47
57.1618,242.04
57.1818,315.75
57.2017,328.77
57.2216,175.79
57.2416,214.78
57.2615,248.78
57.2815,361.64
57.3014,387.94
57.3214,326.41
57.3413,262.81
57.3612,379.34
57.3812,291.6
57.4011,212.31
57.4211,302.36
57.441,343.4
57.4609,316.65
57.4809,310.12
57.5008,290.61
57.5208,282.33
57.5407,215.41
57.5607,311.55
57.5806,270.49
57.6005,249.72
57.6205,230.47
57.6404,426.86
57.6604,282.22
57.6803,258.51
57.7003,257.34
57.7202,301.11
57.7401,275.84
57.7601,346.45
57.78,227.56
57.8,328.91
57.8199,232.72
57.8398,229.79
57.8598,235.49
57.8797,239.37
57.8997,313.71
57.9196,249.24
57.9396,228.68
57.9595,192.89
57.9794,308.06
57.9994,347.09
58.0193,260.91
